TOTAL,PASS/FAIL,DIVISON,SELECTION,,,,,,,,,,
216,PASS,SECOND,NEXT,,,,,sum,,,,,
247,PASS,SECOND,NEXT,,,,,2039416,,,,,
271,PASS,FIRST,NEXT,,,,,average,,,,,SUMPRODUCT
143,FAIL,NO DIVISION,SAME,,,,,66.55840214,,,,,800
229,PASS,SECOND,NEXT,,,,,median,,,,,
236,PASS,SECOND,NEXT,,,,,67,,,,,
267,PASS,FIRST,NEXT,,,,,mode,,,,,
123,FAIL,NO DIVISION,SAME,,,,,64,,,10,10,
197,FAIL,NO DIVISION,SAME,,,,,count,,,20,20,
146,FAIL,NO DIVISION,SAME,,,,,30641,,,30,10,
164,FAIL,NO DIVISION,SAME,,,,,counta,,,,,
135,FAIL,NO DIVISION,SAME,,,,,30642,,,,,
222,PASS,SECOND,NEXT,,,,,countblank,,,,,
224,PASS,SECOND,NEXT,,,,,1048570,,,,,
159,FAIL,NO DIVISION,SAME,,,,,,,,,,
222,PASS,SECOND,NEXT,,,,,,,,,,
263,PASS,FIRST,NEXT,,,,,,,,,,
78,FAIL,NO DIVISION,SAME,,,,,,,,,,
135,FAIL,NO DIVISION,SAME,,,,,,,,,,
164,FAIL,NO DIVISION,SAME,,,,,,,,,,
198,FAIL,NO DIVISION,SAME,,,,,,,,,,
210,PASS,SECOND,NEXT,,,,,,,,,,
146,FAIL,NO DIVISION,SAME,,,,,,,,,,
208,PASS,SECOND,NEXT,,,,,,,,,,
225,PASS,SECOND,NEXT,,,,,,,,,,
227,PASS,SECOND,NEXT,,,,,,,,,,
172,FAIL,NO DIVISION,SAME,,,,,,,,,,
215,PASS,SECOND,NEXT,,,,,,,,,,
205,PASS,SECOND,NEXT,,,,,,,,,,
210,PASS,SECOND,NEXT,,,,,,,,,,
189,FAIL,NO DIVISION,SAME,,,,,,,,,,
195,FAIL,NO DIVISION,SAME,,,,,,,,,,
120,FAIL,NO DIVISION,SAME,,,,,,,,,,
266,PASS,FIRST,NEXT,,,,,,,,,,
241,PASS,SECOND,NEXT,,,,,,,,,,
243,PASS,SECOND,NEXT,,,,,,,,,,
175,FAIL,NO DIVISION,SAME,,,,,,,,,,
258,PASS,FIRST,NEXT,,,,,,,,,,
172,FAIL,NO DIVISION,SAME,,,,,,,,,,
165,FAIL,NO DIVISION,SAME,,,,,,,,,,
202,PASS,SECOND,NEXT,,,,,,,,,,
192,FAIL,NO DIVISION,SAME,,,,,,,,,,
155,FAIL,NO DIVISION,SAME,,,,,,,,,,
171,FAIL,NO DIVISION,SAME,,,,,,,,,,
216,PASS,SECOND,NEXT,,,,,,,,,,
248,PASS,SECOND,NEXT,,,,,,,,,,
157,FAIL,NO DIVISION,SAME,,,,,,,,,,
212,PASS,SECOND,NEXT,,,,,,,,,,
144,FAIL,NO DIVISION,SAME,,,,,,,,,,
